Date,SKU_ID,Warehouse_ID,Supplier_ID,Region,Units_Sold,Inventory_Level,Supplier_Lead_Time_Days,Reorder_Point,Order_Quantity,Unit_Cost,Unit_Price,Promotion_Flag,Stockout_Flag,Demand_Forecast
2024-01-07,SKU_24,WH_1,SUP_2,West,28,449,2,288,0,6.14,10.22,1,0,32.27
2024-01-07,SKU_24,WH_4,SUP_3,South,13,425,13,301,0,7.11,12.19,0,0,16.04
2024-01-07,SKU_24,WH_2,SUP_7,West,24,701,5,365,0,19.69,29.64,1,0,20.09
2024-01-08,SKU_24,WH_3,SUP_3,North,12,691,10,209,0,10.59,15.15,0,0,10.05
2024-01-08,SKU_24,WH_4,SUP_3,West,20,405,13,301,0,7.11,12.19,1,0,17.71
2024-01-08,SKU_24,WH_5,SUP_4,East,22,651,7,313,0,7.27,12.17,0,0,19.14
2024-01-08,SKU_24,WH_1,SUP_2,North,22,427,2,288,0,6.14,10.22,0,0,20.19
2024-01-08,SKU_24,WH_2,SUP_7,West,22,679,5,365,0,19.69,29.64,0,0,15.52
2024-01-09,SKU_24,WH_2,SUP_7,North,21,658,5,365,0,19.69,29.64,0,0,25.93
2024-01-09,SKU_24,WH_1,SUP_2,West,26,401,2,288,0,6.14,10.22,0,0,25.81
2024-01-09,SKU_24,WH_3,SUP_3,East,19,672,10,209,0,10.59,15.15,0,0,21.44
2024-01-09,SKU_24,WH_5,SUP_4,North,19,632,7,313,0,7.27,12.17,0,0,13.05
2024-01-09,SKU_24,WH_4,SUP_3,North,27,378,13,301,0,7.11,12.19,0,0,21.63
2024-01-10,SKU_24,WH_4,SUP_3,South,28,350,13,301,0,7.11,12.19,0,0,22.61
2024-01-10,SKU_24,WH_3,SUP_3,North,9,663,10,209,0,10.59,15.15,0,0,8.23
2024-01-10,SKU_24,WH_2,SUP_7,North,35,623,5,365,0,19.69,29.64,1,0,34.43
2024-01-10,SKU_24,WH_1,SUP_2,South,18,383,2,288,0,6.14,10.22,0,0,19.06
2024-01-10,SKU_24,WH_5,SUP_4,East,19,613,7,313,0,7.27,12.17,0,0,21.71
2024-01-11,SKU_24,WH_5,SUP_4,West,28,585,7,313,0,7.27,12.17,1,0,29.06
2024-01-11,SKU_24,WH_2,SUP_7,South,17,606,5,365,0,19.69,29.64,0,0,13.21
2024-01-11,SKU_24,WH_3,SUP_3,East,20,643,10,209,0,10.59,15.15,0,0,19.84
2024-01-11,SKU_24,WH_4,SUP_3,West,22,328,13,301,0,7.11,12.19,0,0,22.13
2024-01-11,SKU_24,WH_1,SUP_2,West,22,361,2,288,0,6.14,10.22,0,0,22.28
2024-01-12,SKU_24,WH_3,SUP_3,North,21,622,10,209,0,10.59,15.15,0,0,21.18
2024-01-12,SKU_24,WH_4,SUP_3,North,20,308,13,301,0,7.11,12.19,0,0,22.7
2024-01-12,SKU_24,WH_2,SUP_7,North,22,584,5,365,0,19.69,29.64,0,0,26.47
2024-01-12,SKU_24,WH_5,SUP_4,East,31,554,7,313,0,7.27,12.17,0,0,32.46
2024-01-12,SKU_24,WH_1,SUP_2,West,19,342,2,288,0,6.14,10.22,0,0,18.64
2024-01-13,SKU_24,WH_4,SUP_3,West,25,283,13,301,0,7.11,12.19,0,0,19.37
2024-01-13,SKU_24,WH_3,SUP_3,South,23,599,10,209,0,10.59,15.15,0,0,25.75
2024-01-13,SKU_24,WH_2,SUP_7,North,14,570,5,365,0,19.69,29.64,0,0,13.13
2024-01-13,SKU_24,WH_5,SUP_4,East,20,534,7,313,0,7.27,12.17,0,0,21.76
2024-01-13,SKU_24,WH_1,SUP_2,South,26,316,2,288,0,6.14,10.22,0,0,26.3
2024-01-14,SKU_24,WH_2,SUP_7,West,16,554,5,365,0,19.69,29.64,0,0,15.49
2024-01-14,SKU_24,WH_4,SUP_3,North,17,687,13,301,421,7.11,12.19,0,0,15.73
2024-01-14,SKU_24,WH_1,SUP_2,East,19,297,2,288,0,6.14,10.22,0,0,16.09
2024-01-14,SKU_24,WH_3,SUP_3,West,10,589,10,209,0,10.59,15.15,0,0,17.96
2024-01-14,SKU_24,WH_5,SUP_4,East,18,516,7,313,0,7.27,12.17,0,0,15.88
2024-01-15,SKU_24,WH_1,SUP_2,South,22,275,2,288,0,6.14,10.22,0,0,23.02
2024-01-15,SKU_24,WH_2,SUP_7,North,28,526,5,365,0,19.69,29.64,0,0,35.32
2024-01-15,SKU_24,WH_5,SUP_4,South,18,498,7,313,0,7.27,12.17,0,0,20.33
2024-01-15,SKU_24,WH_3,SUP_3,South,28,561,10,209,0,10.59,15.15,0,0,24.62
2024-01-15,SKU_24,WH_4,SUP_3,East,28,659,13,301,0,7.11,12.19,0,0,29.91
2024-01-16,SKU_24,WH_1,SUP_2,East,20,561,2,288,306,6.14,10.22,0,0,15.05
2024-01-16,SKU_24,WH_4,SUP_3,East,19,640,13,301,0,7.11,12.19,0,0,18.83
2024-01-16,SKU_24,WH_2,SUP_7,South,19,507,5,365,0,19.69,29.64,1,0,20.07
2024-01-16,SKU_24,WH_5,SUP_4,East,18,480,7,313,0,7.27,12.17,1,0,15.3
2024-01-16,SKU_24,WH_3,SUP_3,South,25,536,10,209,0,10.59,15.15,0,0,26.26
2024-01-17,SKU_24,WH_1,SUP_2,West,16,545,2,288,0,6.14,10.22,0,0,17.97
2024-01-17,SKU_24,WH_4,SUP_3,East,21,619,13,301,0,7.11,12.19,0,0,20.29
2024-01-17,SKU_24,WH_5,SUP_4,North,25,455,7,313,0,7.27,12.17,0,0,26.07
2024-01-17,SKU_24,WH_3,SUP_3,East,19,517,10,209,0,10.59,15.15,0,0,21.02
2024-01-17,SKU_24,WH_2,SUP_7,West,24,483,5,365,0,19.69,29.64,0,0,28.78
2024-01-18,SKU_24,WH_2,SUP_7,South,20,463,5,365,0,19.69,29.64,0,0,20.87
2024-01-18,SKU_24,WH_3,SUP_3,West,25,492,10,209,0,10.59,15.15,0,0,24.6
2024-01-18,SKU_24,WH_1,SUP_2,East,18,527,2,288,0,6.14,10.22,0,0,12.9
2024-01-18,SKU_24,WH_5,SUP_4,North,21,434,7,313,0,7.27,12.17,0,0,24.6
2024-01-18,SKU_24,WH_4,SUP_3,West,19,600,13,301,0,7.11,12.19,0,0,18.56
2024-01-19,SKU_24,WH_1,SUP_2,South,24,503,2,288,0,6.14,10.22,0,0,19.66
2024-01-19,SKU_24,WH_4,SUP_3,South,30,570,13,301,0,7.11,12.19,0,0,26.0
2024-01-19,SKU_24,WH_2,SUP_7,South,16,447,5,365,0,19.69,29.64,0,0,17.73
2024-01-19,SKU_24,WH_3,SUP_3,East,23,469,10,209,0,10.59,15.15,0,0,23.9
2024-01-19,SKU_24,WH_5,SUP_4,East,31,403,7,313,0,7.27,12.17,0,0,32.0
2024-01-20,SKU_24,WH_5,SUP_4,South,30,373,7,313,0,7.27,12.17,0,0,40.07
2024-01-20,SKU_24,WH_3,SUP_3,South,25,444,10,209,0,10.59,15.15,0,0,21.16
2024-01-20,SKU_24,WH_2,SUP_7,West,29,418,5,365,0,19.69,29.64,0,0,33.08
2024-01-20,SKU_24,WH_4,SUP_3,West,23,547,13,301,0,7.11,12.19,0,0,17.24
2024-01-20,SKU_24,WH_1,SUP_2,East,28,475,2,288,0,6.14,10.22,1,0,25.37
2024-01-21,SKU_24,WH_5,SUP_4,North,20,353,7,313,0,7.27,12.17,0,0,19.62
2024-01-21,SKU_24,WH_3,SUP_3,West,25,419,10,209,0,10.59,15.15,0,0,25.3
2024-01-21,SKU_24,WH_2,SUP_7,East,23,395,5,365,0,19.69,29.64,0,0,23.56
2024-01-21,SKU_24,WH_4,SUP_3,North,26,521,13,301,0,7.11,12.19,0,0,31.11
2024-01-21,SKU_24,WH_1,SUP_2,East,27,448,2,288,0,6.14,10.22,0,0,27.8
2024-01-22,SKU_24,WH_3,SUP_3,North,20,399,10,209,0,10.59,15.15,0,0,17.02
2024-01-22,SKU_24,WH_4,SUP_3,South,19,502,13,301,0,7.11,12.19,0,0,17.98
2024-01-22,SKU_24,WH_5,SUP_4,West,25,328,7,313,0,7.27,12.17,0,0,20.34
2024-01-22,SKU_24,WH_2,SUP_7,West,24,371,5,365,0,19.69,29.64,0,0,19.15
2024-01-22,SKU_24,WH_1,SUP_2,North,25,423,2,288,0,6.14,10.22,0,0,26.52
2024-01-23,SKU_24,WH_2,SUP_7,West,23,348,5,365,0,19.69,29.64,0,0,24.62
2024-01-23,SKU_24,WH_3,SUP_3,West,22,377,10,209,0,10.59,15.15,0,0,21.08
2024-01-23,SKU_24,WH_5,SUP_4,South,20,308,7,313,0,7.27,12.17,0,0,25.99
2024-01-23,SKU_24,WH_1,SUP_2,West,23,400,2,288,0,6.14,10.22,0,0,32.5
2024-01-23,SKU_24,WH_4,SUP_3,North,16,486,13,301,0,7.11,12.19,0,0,16.71
2024-01-24,SKU_24,WH_3,SUP_3,South,29,348,10,209,0,10.59,15.15,0,0,32.19
2024-01-24,SKU_24,WH_4,SUP_3,East,25,461,13,301,0,7.11,12.19,0,0,32.62
2024-01-24,SKU_24,WH_1,SUP_2,North,20,380,2,288,0,6.14,10.22,0,0,18.05
2024-01-24,SKU_24,WH_2,SUP_7,North,41,574,5,365,267,19.69,29.64,1,0,43.69
2024-01-24,SKU_24,WH_5,SUP_4,South,26,699,7,313,417,7.27,12.17,0,0,22.15
2024-01-25,SKU_24,WH_3,SUP_3,South,28,320,10,209,0,10.59,15.15,0,0,22.66
2024-01-25,SKU_24,WH_4,SUP_3,East,27,434,13,301,0,7.11,12.19,0,0,21.86
2024-01-25,SKU_24,WH_2,SUP_7,West,27,547,5,365,0,19.69,29.64,0,0,25.68
2024-01-25,SKU_24,WH_1,SUP_2,South,23,357,2,288,0,6.14,10.22,0,0,27.46
2024-01-25,SKU_24,WH_5,SUP_4,East,25,674,7,313,0,7.27,12.17,0,0,23.01
2024-01-26,SKU_24,WH_2,SUP_7,East,24,523,5,365,0,19.69,29.64,0,0,29.07
2024-01-26,SKU_24,WH_3,SUP_3,South,24,296,10,209,0,10.59,15.15,0,0,22.59
2024-01-26,SKU_24,WH_1,SUP_2,East,28,329,2,288,0,6.14,10.22,0,0,23.74
2024-01-26,SKU_24,WH_5,SUP_4,East,17,657,7,313,0,7.27,12.17,0,0,19.17
2024-01-26,SKU_24,WH_4,SUP_3,West,27,407,13,301,0,7.11,12.19,1,0,25.15
2024-01-27,SKU_24,WH_5,SUP_4,West,34,623,7,313,0,7.27,12.17,0,0,31.31
2024-01-27,SKU_24,WH_1,SUP_2,North,23,306,2,288,0,6.14,10.22,0,0,25.21
2024-01-27,SKU_24,WH_3,SUP_3,North,34,262,10,209,0,10.59,15.15,0,0,34.67
2024-01-27,SKU_24,WH_4,SUP_3,North,29,378,13,301,0,7.11,12.19,0,0,25.44
2024-01-27,SKU_24,WH_2,SUP_7,South,21,502,5,365,0,19.69,29.64,0,0,21.5
2024-01-28,SKU_24,WH_1,SUP_2,North,30,276,2,288,0,6.14,10.22,0,0,32.57
2024-01-28,SKU_24,WH_5,SUP_4,West,27,596,7,313,0,7.27,12.17,0,0,31.73
2024-01-28,SKU_24,WH_2,SUP_7,West,29,473,5,365,0,19.69,29.64,1,0,29.05
2024-01-28,SKU_24,WH_4,SUP_3,South,21,357,13,301,0,7.11,12.19,0,0,13.54
2024-01-28,SKU_24,WH_3,SUP_3,West,20,242,10,209,0,10.59,15.15,0,0,13.28
2024-01-29,SKU_24,WH_4,SUP_3,North,15,342,13,301,0,7.11,12.19,0,0,13.26
2024-01-29,SKU_24,WH_1,SUP_2,West,29,448,2,288,201,6.14,10.22,0,0,30.31
2024-01-29,SKU_24,WH_2,SUP_7,East,27,446,5,365,0,19.69,29.64,0,0,31.32
2024-01-29,SKU_24,WH_5,SUP_4,North,17,579,7,313,0,7.27,12.17,0,0,21.45
2024-01-29,SKU_24,WH_3,SUP_3,South,25,217,10,209,0,10.59,15.15,0,0,26.81
2024-01-30,SKU_24,WH_1,SUP_2,West,34,414,2,288,0,6.14,10.22,0,0,37.42
2024-01-30,SKU_24,WH_4,SUP_3,South,26,316,13,301,0,7.11,12.19,0,0,25.08
2024-01-30,SKU_24,WH_3,SUP_3,North,27,190,10,209,0,10.59,15.15,1,0,21.43
2024-01-30,SKU_24,WH_2,SUP_7,South,26,420,5,365,0,19.69,29.64,0,0,33.59
2024-01-30,SKU_24,WH_5,SUP_4,West,33,546,7,313,0,7.27,12.17,1,0,32.3
2024-01-31,SKU_24,WH_3,SUP_3,North,27,450,10,209,287,10.59,15.15,0,0,27.51
2024-01-31,SKU_24,WH_1,SUP_2,North,27,387,2,288,0,6.14,10.22,0,0,25.04
2024-01-31,SKU_24,WH_5,SUP_4,North,29,517,7,313,0,7.27,12.17,0,0,23.75
2024-01-31,SKU_24,WH_2,SUP_7,North,21,399,5,365,0,19.69,29.64,0,0,19.34
2024-01-31,SKU_24,WH_4,SUP_3,East,37,279,13,301,0,7.11,12.19,0,0,32.68
2024-02-01,SKU_24,WH_3,SUP_3,North,23,427,10,209,0,10.59,15.15,0,0,23.93
2024-02-01,SKU_24,WH_1,SUP_2,South,29,358,2,288,0,6.14,10.22,0,0,31.28
2024-02-01,SKU_24,WH_5,SUP_4,West,22,495,7,313,0,7.27,12.17,0,0,17.75
2024-02-01,SKU_24,WH_2,SUP_7,South,26,373,5,365,0,19.69,29.64,0,0,27.96
2024-02-01,SKU_24,WH_4,SUP_3,South,17,559,13,301,297,7.11,12.19,0,0,18.82
2024-02-02,SKU_24,WH_3,SUP_3,South,22,405,10,209,0,10.59,15.15,0,0,23.4
2024-02-02,SKU_24,WH_5,SUP_4,West,27,468,7,313,0,7.27,12.17,0,0,26.28
2024-02-02,SKU_24,WH_2,SUP_7,North,26,347,5,365,0,19.69,29.64,0,0,20.26
2024-02-02,SKU_24,WH_1,SUP_2,North,26,332,2,288,0,6.14,10.22,0,0,29.08
2024-02-02,SKU_24,WH_4,SUP_3,North,20,539,13,301,0,7.11,12.19,0,0,23.52
2024-02-03,SKU_24,WH_4,SUP_3,South,21,518,13,301,0,7.11,12.19,0,0,20.54
2024-02-03,SKU_24,WH_3,SUP_3,East,24,381,10,209,0,10.59,15.15,0,0,24.67
2024-02-03,SKU_24,WH_1,SUP_2,South,20,312,2,288,0,6.14,10.22,0,0,17.15
2024-02-03,SKU_24,WH_5,SUP_4,East,33,435,7,313,0,7.27,12.17,0,0,36.8
2024-02-03,SKU_24,WH_2,SUP_7,South,34,783,5,365,470,19.69,29.64,0,0,38.69
2024-02-04,SKU_24,WH_2,SUP_7,North,32,751,5,365,0,19.69,29.64,0,0,28.35
2024-02-04,SKU_24,WH_1,SUP_2,North,20,292,2,288,0,6.14,10.22,0,0,22.16
2024-02-04,SKU_24,WH_4,SUP_3,West,25,493,13,301,0,7.11,12.19,0,0,29.91
2024-02-04,SKU_24,WH_3,SUP_3,North,22,359,10,209,0,10.59,15.15,0,0,21.57
2024-02-04,SKU_24,WH_5,SUP_4,East,27,408,7,313,0,7.27,12.17,0,0,25.91
2024-02-05,SKU_24,WH_1,SUP_2,West,18,274,2,288,0,6.14,10.22,0,0,19.09
2024-02-05,SKU_24,WH_3,SUP_3,East,27,332,10,209,0,10.59,15.15,0,0,25.64
2024-02-05,SKU_24,WH_5,SUP_4,South,24,384,7,313,0,7.27,12.17,0,0,27.81
2024-02-05,SKU_24,WH_2,SUP_7,East,31,720,5,365,0,19.69,29.64,0,0,30.25
2024-02-05,SKU_24,WH_4,SUP_3,North,24,469,13,301,0,7.11,12.19,0,0,21.48
2024-02-06,SKU_24,WH_3,SUP_3,West,28,304,10,209,0,10.59,15.15,0,0,28.03
2024-02-06,SKU_24,WH_1,SUP_2,South,25,682,2,288,433,6.14,10.22,0,0,23.94
2024-02-06,SKU_24,WH_2,SUP_7,North,34,686,5,365,0,19.69,29.64,0,0,39.3
2024-02-06,SKU_24,WH_4,SUP_3,West,27,442,13,301,0,7.11,12.19,0,0,25.45
2024-02-06,SKU_24,WH_5,SUP_4,South,24,360,7,313,0,7.27,12.17,0,0,25.7
2024-02-07,SKU_24,WH_3,SUP_3,South,25,279,10,209,0,10.59,15.15,0,0,25.49
2024-02-07,SKU_24,WH_5,SUP_4,East,23,337,7,313,0,7.27,12.17,0,0,17.57
2024-02-07,SKU_24,WH_4,SUP_3,East,26,416,13,301,0,7.11,12.19,0,0,23.28
2024-02-07,SKU_24,WH_2,SUP_7,North,19,667,5,365,0,19.69,29.64,0,0,20.35
2024-02-07,SKU_24,WH_1,SUP_2,West,20,662,2,288,0,6.14,10.22,0,0,17.88
2024-02-08,SKU_24,WH_5,SUP_4,East,18,319,7,313,0,7.27,12.17,0,0,16.98
2024-02-08,SKU_24,WH_4,SUP_3,East,32,384,13,301,0,7.11,12.19,0,0,29.05
2024-02-08,SKU_24,WH_1,SUP_2,North,33,629,2,288,0,6.14,10.22,0,0,36.08
2024-02-08,SKU_24,WH_3,SUP_3,North,33,246,10,209,0,10.59,15.15,0,0,31.97
2024-02-08,SKU_24,WH_2,SUP_7,North,30,637,5,365,0,19.69,29.64,0,0,24.78
2024-02-09,SKU_24,WH_3,SUP_3,West,32,214,10,209,0,10.59,15.15,0,0,33.95
2024-02-09,SKU_24,WH_4,SUP_3,West,34,350,13,301,0,7.11,12.19,0,0,32.9
2024-02-09,SKU_24,WH_5,SUP_4,West,19,300,7,313,0,7.27,12.17,0,0,13.09
2024-02-09,SKU_24,WH_2,SUP_7,West,25,612,5,365,0,19.69,29.64,0,0,29.65
2024-02-09,SKU_24,WH_1,SUP_2,North,20,609,2,288,0,6.14,10.22,0,0,15.56
2024-02-10,SKU_24,WH_1,SUP_2,East,32,577,2,288,0,6.14,10.22,0,0,31.06
2024-02-10,SKU_24,WH_3,SUP_3,South,29,185,10,209,0,10.59,15.15,0,0,33.64
2024-02-10,SKU_24,WH_2,SUP_7,East,19,593,5,365,0,19.69,29.64,0,0,23.03
2024-02-10,SKU_24,WH_4,SUP_3,South,29,321,13,301,0,7.11,12.19,0,0,34.39
2024-02-10,SKU_24,WH_5,SUP_4,East,24,500,7,313,224,7.27,12.17,0,0,22.32
2024-02-11,SKU_24,WH_3,SUP_3,West,30,512,10,209,357,10.59,15.15,0,0,33.72
2024-02-11,SKU_24,WH_2,SUP_7,East,26,567,5,365,0,19.69,29.64,0,0,26.43
2024-02-11,SKU_24,WH_1,SUP_2,East,31,546,2,288,0,6.14,10.22,0,0,25.3
2024-02-11,SKU_24,WH_5,SUP_4,South,21,479,7,313,0,7.27,12.17,0,0,22.17
2024-02-11,SKU_24,WH_4,SUP_3,South,33,288,13,301,0,7.11,12.19,0,0,32.42
2024-02-12,SKU_24,WH_5,SUP_4,North,32,447,7,313,0,7.27,12.17,1,0,29.6
2024-02-12,SKU_24,WH_3,SUP_3,South,21,491,10,209,0,10.59,15.15,0,0,20.61
2024-02-12,SKU_24,WH_4,SUP_3,West,26,486,13,301,224,7.11,12.19,0,0,22.82
2024-02-12,SKU_24,WH_1,SUP_2,North,24,522,2,288,0,6.14,10.22,0,0,26.21
2024-02-12,SKU_24,WH_2,SUP_7,East,24,543,5,365,0,19.69,29.64,0,0,28.78
2024-02-13,SKU_24,WH_4,SUP_3,East,36,450,13,301,0,7.11,12.19,0,0,38.72
2024-02-13,SKU_24,WH_3,SUP_3,East,25,466,10,209,0,10.59,15.15,0,0,27.15
2024-02-13,SKU_24,WH_2,SUP_7,East,18,525,5,365,0,19.69,29.64,0,0,18.33
2024-02-13,SKU_24,WH_5,SUP_4,West,19,428,7,313,0,7.27,12.17,0,0,22.49
2024-02-13,SKU_24,WH_1,SUP_2,North,32,490,2,288,0,6.14,10.22,0,0,29.23
2024-02-14,SKU_24,WH_5,SUP_4,East,32,396,7,313,0,7.27,12.17,0,0,27.3
2024-02-14,SKU_24,WH_2,SUP_7,South,16,509,5,365,0,19.69,29.64,0,0,8.89
2024-02-14,SKU_24,WH_4,SUP_3,South,25,425,13,301,0,7.11,12.19,0,0,31.81
2024-02-14,SKU_24,WH_3,SUP_3,South,26,440,10,209,0,10.59,15.15,0,0,27.71
2024-02-14,SKU_24,WH_1,SUP_2,South,32,458,2,288,0,6.14,10.22,0,0,37.22
2024-02-15,SKU_24,WH_2,SUP_7,West,24,485,5,365,0,19.69,29.64,0,0,22.12
2024-02-15,SKU_24,WH_1,SUP_2,East,39,419,2,288,0,6.14,10.22,0,0,41.41
2024-02-15,SKU_24,WH_3,SUP_3,East,16,424,10,209,0,10.59,15.15,0,0,11.26
2024-02-15,SKU_24,WH_4,SUP_3,East,31,394,13,301,0,7.11,12.19,0,0,32.35
2024-02-15,SKU_24,WH_5,SUP_4,West,28,368,7,313,0,7.27,12.17,0,0,27.93
2024-02-16,SKU_24,WH_5,SUP_4,West,27,341,7,313,0,7.27,12.17,0,0,33.27
2024-02-16,SKU_24,WH_1,SUP_2,North,22,397,2,288,0,6.14,10.22,0,0,28.18
2024-02-16,SKU_24,WH_3,SUP_3,West,28,396,10,209,0,10.59,15.15,1,0,24.64
2024-02-16,SKU_24,WH_2,SUP_7,South,34,451,5,365,0,19.69,29.64,0,0,37.35
2024-02-16,SKU_24,WH_4,SUP_3,North,29,365,13,301,0,7.11,12.19,0,0,30.54
2024-02-17,SKU_24,WH_4,SUP_3,East,24,341,13,301,0,7.11,12.19,0,0,23.06
2024-02-17,SKU_24,WH_5,SUP_4,North,25,316,7,313,0,7.27,12.17,0,0,22.47
2024-02-17,SKU_24,WH_2,SUP_7,South,28,423,5,365,0,19.69,29.64,0,0,24.6
2024-02-17,SKU_24,WH_3,SUP_3,West,26,370,10,209,0,10.59,15.15,0,0,23.75
2024-02-17,SKU_24,WH_1,SUP_2,West,27,370,2,288,0,6.14,10.22,0,0,25.04
2024-02-18,SKU_24,WH_5,SUP_4,South,27,289,7,313,0,7.27,12.17,0,0,27.67
2024-02-18,SKU_24,WH_1,SUP_2,South,29,341,2,288,0,6.14,10.22,0,0,32.92
2024-02-18,SKU_24,WH_2,SUP_7,North,27,396,5,365,0,19.69,29.64,0,0,33.53
2024-02-18,SKU_24,WH_3,SUP_3,North,27,343,10,209,0,10.59,15.15,0,0,31.77
2024-02-18,SKU_24,WH_4,SUP_3,East,33,308,13,301,0,7.11,12.19,1,0,35.62
2024-02-19,SKU_24,WH_2,SUP_7,West,27,369,5,365,0,19.69,29.64,0,0,28.7
2024-02-19,SKU_24,WH_4,SUP_3,North,20,288,13,301,0,7.11,12.19,0,0,19.27
2024-02-19,SKU_24,WH_1,SUP_2,East,24,317,2,288,0,6.14,10.22,0,0,22.94
2024-02-19,SKU_24,WH_3,SUP_3,East,23,320,10,209,0,10.59,15.15,0,0,20.1
2024-02-19,SKU_24,WH_5,SUP_4,South,26,670,7,313,407,7.27,12.17,0,0,22.51
2024-02-20,SKU_24,WH_1,SUP_2,North,31,286,2,288,0,6.14,10.22,0,0,31.98
2024-02-20,SKU_24,WH_5,SUP_4,South,35,635,7,313,0,7.27,12.17,0,0,35.06
2024-02-20,SKU_24,WH_2,SUP_7,West,26,343,5,365,0,19.69,29.64,0,0,31.65
2024-02-20,SKU_24,WH_4,SUP_3,East,22,694,13,301,428,7.11,12.19,0,0,26.95
2024-02-20,SKU_24,WH_3,SUP_3,North,27,293,10,209,0,10.59,15.15,0,0,34.72
2024-02-21,SKU_24,WH_4,SUP_3,East,21,673,13,301,0,7.11,12.19,0,0,24.51
2024-02-21,SKU_24,WH_1,SUP_2,West,31,686,2,288,431,6.14,10.22,0,0,32.02
2024-02-21,SKU_24,WH_2,SUP_7,North,27,794,5,365,478,19.69,29.64,0,0,35.92
2024-02-21,SKU_24,WH_3,SUP_3,North,24,269,10,209,0,10.59,15.15,0,0,26.1
2024-02-21,SKU_24,WH_5,SUP_4,East,28,607,7,313,0,7.27,12.17,0,0,22.14
2024-02-22,SKU_24,WH_4,SUP_3,South,27,646,13,301,0,7.11,12.19,0,0,24.83
2024-02-22,SKU_24,WH_5,SUP_4,West,21,586,7,313,0,7.27,12.17,0,0,22.52
2024-02-22,SKU_24,WH_1,SUP_2,North,22,664,2,288,0,6.14,10.22,0,0,22.32
2024-02-22,SKU_24,WH_3,SUP_3,South,32,237,10,209,0,10.59,15.15,0,0,33.9
