Date,sku,Demand
2023-03-07,P0016,776
2023-03-08,P0016,474
2023-03-09,P0016,972
2023-03-10,P0016,674
2023-03-11,P0016,689
2023-03-12,P0016,753
2023-03-13,P0016,749
2023-03-14,P0016,745
2023-03-15,P0016,766
2023-03-16,P0016,479
2023-03-17,P0016,440
2023-03-18,P0016,884
2023-03-19,P0016,609
2023-03-20,P0016,447
2023-03-21,P0016,1342
2023-03-22,P0016,572
2023-03-23,P0016,1034
2023-03-24,P0016,907
2023-03-25,P0016,371
2023-03-26,P0016,338
2023-03-27,P0016,596
2023-03-28,P0016,1022
2023-03-29,P0016,547
2023-03-30,P0016,381
2023-03-31,P0016,659
2023-04-01,P0016,1127
2023-04-02,P0016,825
2023-04-03,P0016,922
2023-04-04,P0016,461
2023-04-05,P0016,574
2023-04-06,P0016,431
2023-04-07,P0016,1319
2023-04-08,P0016,1208
2023-04-09,P0016,1225
2023-04-10,P0016,568
2023-04-11,P0016,719
2023-04-12,P0016,1252
2023-04-13,P0016,487
2023-04-14,P0016,621
2023-04-15,P0016,549
2023-04-16,P0016,541
2023-04-17,P0016,698
2023-04-18,P0016,714
2023-04-19,P0016,470
2023-04-20,P0016,185
2023-04-21,P0016,789
2023-04-22,P0016,664
2023-04-23,P0016,719
2023-04-24,P0016,657
2023-04-25,P0016,576
2023-04-26,P0016,900
2023-04-27,P0016,890
2023-04-28,P0016,313
2023-04-29,P0016,495
2023-04-30,P0016,681
2023-05-01,P0016,641
2023-05-02,P0016,1054
2023-05-03,P0016,669
2023-05-04,P0016,860
2023-05-05,P0016,564
2023-05-06,P0016,873
2023-05-07,P0016,681
2023-05-08,P0016,708
2023-05-09,P0016,687
2023-05-10,P0016,837
2023-05-11,P0016,697
2023-05-12,P0016,691
2023-05-13,P0016,306
2023-05-14,P0016,704
2023-05-15,P0016,916
2023-05-16,P0016,708
2023-05-17,P0016,243
2023-05-18,P0016,722
2023-05-19,P0016,845
2023-05-20,P0016,836
2023-05-21,P0016,412
2023-05-22,P0016,839
2023-05-23,P0016,689
2023-05-24,P0016,828
2023-05-25,P0016,387
2023-05-26,P0016,885
2023-05-27,P0016,716
2023-05-28,P0016,581
2023-05-29,P0016,497
2023-05-30,P0016,303
2023-05-31,P0016,370
2023-06-01,P0016,967
2023-06-02,P0016,563
2023-06-03,P0016,782
2023-06-04,P0016,511
2023-06-05,P0016,746
2023-06-06,P0016,793
2023-06-07,P0016,864
2023-06-08,P0016,693
2023-06-09,P0016,1116
2023-06-10,P0016,360
2023-06-11,P0016,441
2023-06-12,P0016,693
2023-06-13,P0016,361
2023-06-14,P0016,633
2023-06-15,P0016,884
2023-06-16,P0016,927
2023-06-17,P0016,519
2023-06-18,P0016,934
2023-06-19,P0016,905
2023-06-20,P0016,652
2023-06-21,P0016,386
2023-06-22,P0016,683
2023-06-23,P0016,780
2023-06-24,P0016,691
2023-06-25,P0016,428
2023-06-26,P0016,1156
2023-06-27,P0016,524
2023-06-28,P0016,357
2023-06-29,P0016,723
2023-06-30,P0016,461
2023-07-01,P0016,979
2023-07-02,P0016,710
2023-07-03,P0016,1016
2023-07-04,P0016,399
2023-07-05,P0016,656
2023-07-06,P0016,454
2023-07-07,P0016,1050
2023-07-08,P0016,1013
2023-07-09,P0016,443
2023-07-10,P0016,406
2023-07-11,P0016,671
2023-07-12,P0016,856
2023-07-13,P0016,894
2023-07-14,P0016,856
2023-07-15,P0016,904
2023-07-16,P0016,1149
2023-07-17,P0016,765
2023-07-18,P0016,479
2023-07-19,P0016,491
2023-07-20,P0016,673
2023-07-21,P0016,603
2023-07-22,P0016,520
2023-07-23,P0016,876
2023-07-24,P0016,405
2023-07-25,P0016,349
2023-07-26,P0016,578
2023-07-27,P0016,476
2023-07-28,P0016,1125
2023-07-29,P0016,857
2023-07-30,P0016,603
2023-07-31,P0016,963
2023-08-01,P0016,581
2023-08-02,P0016,912
2023-08-03,P0016,948
2023-08-04,P0016,823
2023-08-05,P0016,289
2023-08-06,P0016,1263
2023-08-07,P0016,1293
2023-08-08,P0016,302
2023-08-09,P0016,657
2023-08-10,P0016,343
2023-08-11,P0016,570
2023-08-12,P0016,543
2023-08-13,P0016,768
2023-08-14,P0016,807
2023-08-15,P0016,875
2023-08-16,P0016,624
2023-08-17,P0016,221
2023-08-18,P0016,824
2023-08-19,P0016,966
2023-08-20,P0016,708
2023-08-21,P0016,737
2023-08-22,P0016,599
2023-08-23,P0016,760
2023-08-24,P0016,914
2023-08-25,P0016,729
2023-08-26,P0016,650
2023-08-27,P0016,1004
2023-08-28,P0016,575
2023-08-29,P0016,668
2023-08-30,P0016,287
2023-08-31,P0016,565
2023-09-01,P0016,661
2023-09-02,P0016,765
2023-09-03,P0016,670
2023-09-04,P0016,697
2023-09-05,P0016,800
2023-09-06,P0016,882
2023-09-07,P0016,530
2023-09-08,P0016,347
2023-09-09,P0016,693
2023-09-10,P0016,1182
2023-09-11,P0016,1130
2023-09-12,P0016,925
2023-09-13,P0016,1076
2023-09-14,P0016,641
2023-09-15,P0016,889
2023-09-16,P0016,497
2023-09-17,P0016,1169
2023-09-18,P0016,216
2023-09-19,P0016,846
2023-09-20,P0016,394
2023-09-21,P0016,451
2023-09-22,P0016,321
2023-09-23,P0016,577
2023-09-24,P0016,557
2023-09-25,P0016,313
2023-09-26,P0016,913
2023-09-27,P0016,776
2023-09-28,P0016,397
2023-09-29,P0016,287
2023-09-30,P0016,593
2023-10-01,P0016,806
2023-10-02,P0016,641
2023-10-03,P0016,808
2023-10-04,P0016,178
2023-10-05,P0016,361
2023-10-06,P0016,724
2023-10-07,P0016,544
2023-10-08,P0016,518
2023-10-09,P0016,397
2023-10-10,P0016,540
2023-10-11,P0016,661
2023-10-12,P0016,1277
2023-10-13,P0016,556
2023-10-14,P0016,791
2023-10-15,P0016,496
2023-10-16,P0016,421
2023-10-17,P0016,749
2023-10-18,P0016,636
2023-10-19,P0016,945
2023-10-20,P0016,674
2023-10-21,P0016,711
2023-10-22,P0016,886
2023-10-23,P0016,720
2023-10-24,P0016,740
2023-10-25,P0016,384
2023-10-26,P0016,879
2023-10-27,P0016,651
2023-10-28,P0016,770
2023-10-29,P0016,925
2023-10-30,P0016,1106
2023-10-31,P0016,1084
2023-11-01,P0016,824
2023-11-02,P0016,1119
2023-11-03,P0016,462
2023-11-04,P0016,486
2023-11-05,P0016,1115
2023-11-06,P0016,684
2023-11-07,P0016,984
2023-11-08,P0016,458
2023-11-09,P0016,654
2023-11-10,P0016,933
2023-11-11,P0016,658
2023-11-12,P0016,345
2023-11-13,P0016,620
2023-11-14,P0016,660
2023-11-15,P0016,626
2023-11-16,P0016,1133
2023-11-17,P0016,505
2023-11-18,P0016,941
2023-11-19,P0016,299
2023-11-20,P0016,585
2023-11-21,P0016,1197
2023-11-22,P0016,821
2023-11-23,P0016,362
2023-11-24,P0016,1472
2023-11-25,P0016,629
2023-11-26,P0016,532
2023-11-27,P0016,257
2023-11-28,P0016,972
2023-11-29,P0016,763
2023-11-30,P0016,720
2023-12-01,P0016,734
2023-12-02,P0016,768
2023-12-03,P0016,491
2023-12-04,P0016,662
2023-12-05,P0016,639
2023-12-06,P0016,733
2023-12-07,P0016,982
2023-12-08,P0016,597
2023-12-09,P0016,850
2023-12-10,P0016,716
2023-12-11,P0016,621
2023-12-12,P0016,745
2023-12-13,P0016,1093
2023-12-14,P0016,958
2023-12-15,P0016,955
2023-12-16,P0016,900
2023-12-17,P0016,652
2023-12-18,P0016,604
2023-12-19,P0016,445
2023-12-20,P0016,702
2023-12-21,P0016,813
2023-12-22,P0016,1207
2023-12-23,P0016,447
2023-12-24,P0016,709
2023-12-25,P0016,1043
2023-12-26,P0016,415
2023-12-27,P0016,891
2023-12-28,P0016,415
2023-12-29,P0016,684
2023-12-30,P0016,714
2023-12-31,P0016,349
2024-01-01,P0016,463
